_id,report_date,previous_day_total_doses_administered,previous_day_at_least_one,previous_day_fully_vaccinated,previous_day_3doses,total_doses_administered,total_individuals_at_least_one,total_individuals_partially_vaccinated,total_doses_in_fully_vaccinated_individuals,total_individuals_fully_vaccinated,total_individuals_3doses
551,2022-07-05T00:00:00,11139,372,598,1572,33863328,12601782,434393,,12167389,7410565
552,2022-07-06T00:00:00,15954,545,857,2007,33879282,12602033,434075,,12167958,7412331
553,2022-07-07T00:00:00,15659,521,832,1922,33894941,12602267,433763,,12168504,7414001
554,2022-07-08T00:00:00,17879,554,870,2244,33912820,12602517,433446,,12169071,7415996
555,2022-07-09T00:00:00,14135,450,597,1841,33926955,12602694,433298,,12169396,7417604
556,2022-07-10T00:00:00,8742,475,752,1501,33935697,12602923,433020,,12169903,7418900
557,2022-07-11T00:00:00,4093,199,331,870,33939790,12602858,432885,,12169973,7419551
558,2022-07-12T00:00:00,12104,413,523,1653,33951894,12602973,432770,,12170203,7420951
559,2022-07-13T00:00:00,16709,562,770,2141,33968603,12603240,432556,,12170684,7422850
560,2022-07-14T00:00:00,16858,486,674,2023,33985461,12603422,432357,,12171065,7424635
561,2022-07-15T00:00:00,28887,600,822,2181,34014348,12603722,432134,,12171588,7426575
562,2022-07-16T00:00:00,30289,585,772,2324,34044637,12603995,431938,,12172057,7428649
563,2022-07-17T00:00:00,22922,538,636,1883,34067559,12604297,431837,,12172460,7430339
564,2022-07-18T00:00:00,11390,187,254,852,34078949,12604216,431765,,12172451,7430969
565,2022-07-19T00:00:00,28945,592,590,2132,34107894,12604535,431764,,12172771,7432870
566,2022-07-20T00:00:00,37630,842,923,2588,34145524,12605100,431678,,12173422,7435223
567,2022-07-21T00:00:00,36349,732,810,2804,34181873,12605546,431593,,12173953,7437788
568,2022-07-22T00:00:00,35793,827,888,2681,34217666,12606088,431526,,12174562,7440233
569,2022-07-23T00:00:00,35138,820,913,2825,34252804,12606597,431425,,12175172,7442804
570,2022-07-24T00:00:00,21729,602,805,1770,34274533,12606938,431219,,12175719,7444351
571,2022-07-25T00:00:00,11932,308,311,1080,34286465,12606966,431211,,12175755,7445204
572,2022-07-26T00:00:00,26084,621,601,2209,34312549,12607305,431230,,12176075,7447171
573,2022-07-27T00:00:00,32461,810,844,2647,34345010,12607860,431194,,12176666,7449610
574,2022-07-28T00:00:00,31533,725,884,2604,34376543,12608292,431031,,12177261,7451967
575,2022-07-29T00:00:00,29987,1791,876,2640,34406530,12609793,431942,,12177851,7454358
576,2022-07-30T00:00:00,25822,2525,745,2432,34432352,12612045,433720,,12178325,7456563
577,2022-07-31T00:00:00,14292,1068,541,1561,34446644,12612848,434243,,12178605,7457899
578,2022-08-01T00:00:00,5911,336,223,681,34452555,12612926,434354,,12178572,7458357
579,2022-08-02T00:00:00,4473,305,135,600,34457028,12612961,434520,,12178441,7458735
580,2022-08-03T00:00:00,22928,2635,737,2234,34479956,12615323,436414,,12178909,7460736
581,2022-08-04T00:00:00,22225,2480,677,2129,34502181,12617478,438211,,12179267,7462604
582,2022-08-05T00:00:00,21789,2756,743,2064,34523970,12619955,440216,,12179739,7464442
583,2022-08-06T00:00:00,19642,2877,658,1990,34543612,12622524,442429,,12180095,7466177
584,2022-08-07T00:00:00,12698,2235,619,1418,34556310,12624487,444039,,12180448,7467380
585,2022-08-08T00:00:00,4766,570,188,603,34561076,12624775,444414,,12180361,7467751
586,2022-08-09T00:00:00,14006,1466,557,1589,34575082,12625957,445317,,12180640,7469101
587,2022-08-10T00:00:00,19121,2363,717,1988,34594203,12628048,446961,,12181087,7470862
588,2022-08-11T00:00:00,17073,2043,718,1851,34611276,12629818,448284,,12181534,7472483
589,2022-08-12T00:00:00,16979,2048,734,1850,34628255,12631580,449597,,12181983,7474106
590,2022-08-13T00:00:00,15946,2222,762,1805,34644201,12633523,451055,,12182468,7475675
591,2022-08-14T00:00:00,9523,1621,618,1081,34653724,12634857,452054,,12182803,7476522
592,2022-08-15T00:00:00,3868,388,268,477,34657592,12634994,452171,,12182823,7476792
593,2022-08-16T00:00:00,10801,1073,514,1355,34668393,12635769,452728,,12183041,7477898
594,2022-08-17T00:00:00,16093,1834,738,1778,34684486,12637317,453823,,12183494,7479441
595,2022-08-18T00:00:00,14925,1640,748,1689,34699411,12638636,454711,,12183925,7480862
596,2022-08-19T00:00:00,15306,1846,747,1544,34714717,12640207,455806,,12184401,7482174
597,2022-08-20T00:00:00,14277,1640,739,1543,34728994,12641559,456701,,12184858,7483480
598,2022-08-21T00:00:00,9895,1532,659,1163,34738889,12642830,457570,,12185260,7484430
599,2022-08-22T00:00:00,4162,481,270,561,34743051,12643015,457778,,12185237,7484738
600,2022-08-23T00:00:00,11129,1248,554,1492,34754180,12643959,458469,,12185490,7485979
601,2022-08-24T00:00:00,14752,1808,868,2185,34768932,12645499,459409,,12186090,7487936
602,2022-08-25T00:00:00,14026,1718,780,2120,34782958,12646932,460340,,12186592,7489813
603,2022-08-26T00:00:00,13923,1687,815,2090,34796881,12648330,461205,,12187125,7491658
604,2022-08-27T00:00:00,12411,1484,877,1997,34809292,12649491,461806,,12187685,7493391
605,2022-08-28T00:00:00,7922,1258,621,1396,34817214,12650495,462441,,12188054,7494572
606,2022-08-29T00:00:00,3394,504,283,681,34820608,12650727,462657,,12188070,7495027
607,2022-08-30T00:00:00,9904,1169,649,1855,34830512,12651543,463171,,12188372,7496583
608,2022-08-31T00:00:00,13507,1627,946,2310,34844019,12652887,463848,,12189039,7498656
609,2022-09-01T00:00:00,12899,1721,910,2137,34856918,12654317,464655,,12189662,7500551
610,2022-09-02T00:00:00,15041,1615,991,4919,34871959,12655662,465271,,12190391,7505249
611,2022-09-03T00:00:00,14709,1525,920,5513,34886668,12656916,465873,,12191043,7510537
612,2022-09-04T00:00:00,8660,1010,675,3234,34895328,12657670,466200,,12191470,7513555
613,2022-09-05T00:00:00,3550,321,229,1383,34898878,12657730,466289,,12191441,7514718
614,2022-09-06T00:00:00,2461,157,113,1128,34901339,12657641,466330,,12191311,7515643
615,2022-09-07T00:00:00,10922,1018,587,3491,34912261,12658369,466759,,12191610,7518888
616,2022-09-08T00:00:00,10864,1021,524,2790,34923125,12659069,467253,,12191816,7521408
617,2022-09-09T00:00:00,9580,1012,488,2501,34932705,12659796,467772,,12192024,7523676
618,2022-09-10T00:00:00,10629,1266,551,3162,34943334,12660792,468481,,12192311,7526610
619,2022-09-11T00:00:00,9404,982,667,3734,34952738,12661531,468790,,12192741,7530139
620,2022-09-12T00:00:00,3124,295,203,1079,34955862,12661550,468876,,12192674,7530986
621,2022-09-13T00:00:00,6012,542,281,1132,34961874,12661815,469128,,12192687,7531884
622,2022-09-14T00:00:00,14478,798,432,1843,34976352,12662302,469490,,12192812,7533466
623,2022-09-15T00:00:00,15743,780,408,1533,34992095,12662770,469858,,12192912,7534734
624,2022-09-16T00:00:00,17749,766,445,1690,35009844,12663283,470173,,12193110,7536208
625,2022-09-17T00:00:00,17608,722,456,1665,35027452,12663710,470435,,12193275,7537625
626,2022-09-18T00:00:00,11208,776,451,1684,35038660,12664231,470758,,12193473,7539091
627,2022-09-19T00:00:00,4977,403,288,670,35043637,12664370,470870,,12193500,7539551
628,2022-09-20T00:00:00,13749,438,327,941,35057386,12664501,470979,,12193522,7540232
629,2022-09-21T00:00:00,23027,645,407,1496,35080413,12664854,471212,,12193642,7541486
630,2022-09-22T00:00:00,22903,637,398,1378,35103316,12665193,471445,,12193748,7542609
631,2022-09-23T00:00:00,22934,727,599,1416,35126250,12665629,471569,,12194060,7543778
632,2022-09-24T00:00:00,21679,736,689,1498,35147929,12666076,471612,,12194464,7545043
633,2022-09-25T00:00:00,11315,595,702,1355,35159244,12666399,471500,,12194899,7546169
634,2022-09-26T00:00:00,4561,192,218,594,35163805,12666310,471468,,12194842,7546524
635,2022-09-27T00:00:00,37648,498,364,1499,35201453,12666548,471598,,12194950,7547803
636,2022-09-28T00:00:00,50957,730,670,1902,35252410,12667019,471657,,12195362,7549488
637,2022-09-29T00:00:00,47991,637,739,1836,35300401,12667348,471548,,12195800,7551057
638,2022-09-30T00:00:00,47265,679,806,2001,35347666,12667708,471419,,12196289,7552784
639,2022-10-01T00:00:00,34436,527,632,1545,35382102,12667936,471312,,12196624,7554071
640,2022-10-02T00:00:00,24238,738,1025,1710,35406340,12668392,471022,,12197370,7555539
641,2022-10-03T00:00:00,10863,239,230,611,35417203,12668351,471027,,12197324,7555921
642,2022-10-04T00:00:00,32181,478,458,1168,35449384,12668521,471043,,12197478,7556823
643,2022-10-05T00:00:00,40417,625,740,1558,35489801,12668845,470923,,12197922,7558129
644,2022-10-06T00:00:00,38678,610,652,1567,35528479,12669166,470879,,12198287,7559446
645,2022-10-07T00:00:00,42231,660,852,1742,35570710,12669492,470679,,12198813,7560898
646,2022-10-08T00:00:00,37380,784,1145,2120,35608090,12669965,470312,,12199653,7562759
647,2022-10-09T00:00:00,18811,549,727,1557,35626901,12670253,470131,,12200122,7564094
648,2022-10-10T00:00:00,6862,170,370,567,35633763,12670139,469929,,12200210,7564414
649,2022-10-11T00:00:00,4986,124,111,318,35638749,12669985,469937,,12200048,7564502
650,2022-10-12T00:00:00,35098,579,684,1426,35673847,12670243,469830,,12200413,7565651
651,2022-10-13T00:00:00,36747,644,857,1621,35710594,12670544,469615,,12200929,7566980
652,2022-10-14T00:00:00,36960,621,752,1539,35747554,12670851,469481,,12201370,7568250
653,2022-10-15T00:00:00,35444,716,1013,1624,35782998,12671299,469181,,12202118,7569646
654,2022-10-16T00:00:00,20660,654,1024,1593,35803658,12671699,468805,,12202894,7571019
655,2022-10-17T00:00:00,7349,206,477,538,35811007,12671635,468533,,12203102,7571327
656,2022-10-18T00:00:00,36415,458,500,1397,35847422,12671785,468487,,12203298,7572462
657,2022-10-19T00:00:00,49875,619,729,1983,35897297,12672115,468374,,12203741,7574204
658,2022-10-20T00:00:00,51265,623,648,2048,35948562,12672437,468347,,12204090,7575999
659,2022-10-21T00:00:00,52835,699,618,1938,36001397,12672824,468425,,12204399,7577677
660,2022-10-22T00:00:00,50853,752,905,2308,36052250,12673259,468267,,12204992,7579719
661,2022-10-23T00:00:00,30623,579,783,2118,36082873,12673536,468057,,12205479,7581582
662,2022-10-24T00:00:00,14130,231,270,979,36097003,12673481,468013,,12205468,7582315
663,2022-10-25T00:00:00,41346,474,488,1816,36138349,12673627,467996,,12205631,7583852
664,2022-10-26T00:00:00,51616,619,660,2122,36189965,12673924,467951,,12205973,7585705
665,2022-10-27T00:00:00,50092,610,768,2163,36240057,12674224,467787,,12206437,7587609
666,2022-10-28T00:00:00,49775,590,675,2093,36289832,12674474,467699,,12206775,7589407
667,2022-10-29T00:00:00,50579,736,778,2217,36340411,12674881,467653,,12207228,7591341
668,2022-10-30T00:00:00,28388,664,930,2034,36368799,12675283,467384,,12207899,7593145
669,2022-10-31T00:00:00,12436,199,234,777,36381235,12675225,467346,,12207879,7593705
670,2022-11-01T00:00:00,33075,341,196,1220,36414310,12675238,467485,,12207753,7594647
671,2022-11-02T00:00:00,44269,576,622,1904,36458579,12675508,467437,,12208071,7596273
672,2022-11-03T00:00:00,44172,540,605,1856,36502751,12675749,467369,,12208380,7597868
673,2022-11-04T00:00:00,44624,652,528,2024,36547375,12676117,467487,,12208630,7599653
674,2022-11-05T00:00:00,45191,647,755,2370,36592566,12676488,467376,,12209112,7601778
675,2022-11-06T00:00:00,26012,560,771,2096,36618578,12676728,467163,,12209565,7603595
676,2022-11-07T00:00:00,10710,243,235,876,36629288,12676723,467168,,12209555,7604265
677,2022-11-08T00:00:00,33463,487,395,1584,36662751,12676943,467257,,12209686,7605623
678,2022-11-09T00:00:00,40522,605,570,1966,36703273,12677260,467291,,12209969,7607345
679,2022-11-10T00:00:00,39161,626,547,1926,36742434,12677598,467366,,12210232,7609021
680,2022-11-11T00:00:00,43327,638,641,2205,36785761,12677952,467362,,12210590,7610981
681,2022-11-12T00:00:00,36832,640,592,2185,36822593,12678290,467402,,12210888,7612903
682,2022-11-13T00:00:00,24258,559,770,2276,36846851,12678576,467186,,12211390,7614944
683,2022-11-14T00:00:00,10962,233,204,1023,36857813,12678543,467214,,12211329,7615733
684,2022-11-15T00:00:00,33583,484,379,1691,36891396,12678700,467315,,12211385,7617147
685,2022-11-16T00:00:00,43516,801,581,2369,36934912,12679231,467530,,12211701,7619289
686,2022-11-17T00:00:00,38316,674,646,2241,36973228,12679587,467554,,12212033,7621259
687,2022-11-18T00:00:00,40600,725,530,2326,37013828,12679995,467745,,12212250,7623308
688,2022-11-19T00:00:00,39641,1016,1031,3077,37053469,12680700,467726,,12212974,7626111
689,2022-11-20T00:00:00,22411,661,718,2440,37075880,12681121,467668,,12213453,7628349
690,2022-11-21T00:00:00,8918,197,192,970,37084798,12681081,467669,,12213412,7629132
691,2022-11-22T00:00:00,26429,479,368,1512,37111227,12681245,467776,,12213469,7630369
692,2022-11-23T00:00:00,32053,686,667,2068,37143280,12681630,467793,,12213837,7632182
693,2022-11-24T00:00:00,31892,663,750,2082,37175172,12682010,467705,,12214305,7634024
694,2022-11-25T00:00:00,30746,764,829,1949,37205918,12682499,467634,,12214865,7635742
695,2022-11-26T00:00:00,30270,907,1190,2696,37236188,12683105,467344,,12215761,7638176
696,2022-11-27T00:00:00,18670,611,944,2087,37254858,12683449,467007,,12216442,7640031
697,2022-11-28T00:00:00,7536,191,280,786,37262394,12683377,466913,,12216464,7640582
698,2022-11-29T00:00:00,21014,421,452,1291,37283408,12683513,466879,,12216634,7641627
699,2022-11-30T00:00:00,27881,647,648,1838,37311289,12683883,466876,,12217007,7643223
700,2022-12-01T00:00:00,24795,593,682,1691,37336084,12684192,466785,,12217407,7644666
701,2022-12-02T00:00:00,25044,524,630,1771,37361128,12684432,466673,,12217759,7646187
702,2022-12-03T00:00:00,25541,587,779,1944,37386669,12684742,466474,,12218268,7647907
703,2022-12-04T00:00:00,15245,499,606,1699,37401914,12684958,466363,,12218595,7649353
704,2022-12-05T00:00:00,6879,168,156,746,37408793,12684871,466370,,12218501,7649880
705,2022-12-06T00:00:00,20333,421,351,1376,37429126,12684979,466439,,12218540,7650985
706,2022-12-07T00:00:00,24755,553,609,1668,37453881,12685273,466380,,12218893,7652429
707,2022-12-08T00:00:00,23149,563,523,1760,37477030,12685575,466419,,12219156,7653957
708,2022-12-09T00:00:00,23315,636,575,1631,37500345,12685947,466479,,12219468,7655364
709,2022-12-10T00:00:00,22565,511,600,1627,37522910,12686208,466389,,12219819,7656771
710,2022-12-11T00:00:00,14197,549,785,1566,37537107,12686549,466151,,12220398,7658153
711,2022-12-12T00:00:00,5506,150,157,593,37542613,12686462,466140,,12220322,7658547
712,2022-12-13T00:00:00,17787,378,367,1125,37560400,12686575,466151,,12220424,7659442
713,2022-12-14T00:00:00,21309,511,547,1452,37581709,12686872,466111,,12220761,7660706
714,2022-12-15T00:00:00,21955,531,602,1578,37603664,12687133,466039,,12221094,7662049
715,2022-12-16T00:00:00,16280,378,450,1030,37619944,12687253,465967,,12221286,7662858
716,2022-12-17T00:00:00,18692,559,506,1273,37638636,12687563,466019,,12221544,7663899
717,2022-12-18T00:00:00,12634,529,794,1304,37651270,12687865,465753,,12222112,7664997
718,2022-12-19T00:00:00,4585,133,115,448,37655855,12687738,465767,,12221971,7665214
719,2022-12-20T00:00:00,16201,501,449,1105,37672056,12687994,465816,,12222178,7666105
720,2022-12-21T00:00:00,18464,547,551,1299,37690520,12688311,465809,,12222502,7667199
721,2022-12-22T00:00:00,18587,576,589,1743,37709107,12688658,465796,,12222862,7668741
722,2022-12-23T00:00:00,15636,580,598,1712,37724743,12688956,465773,,12223183,7670216
723,2022-12-24T00:00:00,5331,223,171,671,37730074,12688933,465825,,12223108,7670662
724,2022-12-25T00:00:00,2441,153,152,480,37732515,12688844,465819,,12223025,7670931
725,2022-12-26T00:00:00,262,12,7,48,37732777,12688619,465820,,12222799,7670770
726,2022-12-27T00:00:00,2090,99,35,305,37734867,12688509,465882,,12222627,7670890
727,2022-12-28T00:00:00,8316,337,167,975,37743183,12688595,466050,,12222545,7671638
728,2022-12-29T00:00:00,13158,584,524,1600,37756341,12688930,466108,,12222822,7673018
729,2022-12-30T00:00:00,15812,671,657,1877,37772153,12689357,466119,,12223238,7674676
730,2022-12-31T00:00:00,11228,462,387,1353,37783381,12689538,466190,,12223348,7675781
731,2023-01-01T00:00:00,3906,203,219,562,37787287,12689501,466174,,12223327,7676132
732,2023-01-02T00:00:00,651,37,14,96,37787938,12689309,466197,,12223112,7676024
733,2023-01-03T00:00:00,8190,300,151,897,37796128,12689378,466341,,12223037,7676727
734,2023-01-04T00:00:00,14714,575,547,1544,37810842,12689725,466363,,12223362,7678070
735,2023-01-05T00:00:00,16108,654,533,1794,37826950,12690134,466481,,12223653,7679649
736,2023-01-06T00:00:00,18818,718,609,2044,37845768,12690628,466587,,12224041,7681493
737,2023-01-07T00:00:00,18518,707,638,2052,37864286,12691105,466653,,12224452,7683342
738,2023-01-08T00:00:00,11609,582,608,1630,37875895,12691480,466626,,12224854,7684786
739,2023-01-09T00:00:00,5298,216,196,664,37881193,12691465,466644,,12224821,7685252
740,2023-01-10T00:00:00,12155,419,315,781,37893348,12691641,466748,,12224893,7685816
741,2023-01-11T00:00:00,15537,460,370,1092,37908885,12691852,466836,,12225016,7686692
742,2023-01-12T00:00:00,14060,448,407,972,37922945,12692048,466876,,12225172,7687442
743,2023-01-13T00:00:00,14160,424,345,1038,37937105,12692274,466954,,12225320,7688297
744,2023-01-14T00:00:00,13374,479,452,1076,37950479,12692524,466978,,12225546,7689164
745,2023-01-15T00:00:00,9041,466,506,1049,37959520,12692785,466937,,12225848,7690039
746,2023-01-16T00:00:00,3745,148,130,479,37963265,12692710,466955,,12225755,7690314
747,2023-01-17T00:00:00,8848,270,179,651,37972113,12692707,467046,,12225661,7690732
748,2023-01-18T00:00:00,10238,351,273,757,37982351,12692825,467124,,12225701,7691275
749,2023-01-19T00:00:00,10579,318,318,760,37992930,12692907,467120,,12225787,7691832
750,2023-01-20T00:00:00,9824,319,272,716,38002754,12692998,467166,,12225832,7692339
751,2023-01-21T00:00:00,11302,358,398,904,38014056,12693133,467126,,12226007,7693052
752,2023-01-22T00:00:00,7565,344,404,816,38021621,12693268,467064,,12226204,7693675
753,2023-01-23T00:00:00,3379,144,131,288,38025000,12693230,467077,,12226153,7693803
754,2023-01-24T00:00:00,8278,227,165,549,38033278,12693207,467137,,12226070,7694132
755,2023-01-25T00:00:00,10305,349,296,661,38043583,12693334,467189,,12226145,7694599
756,2023-01-26T00:00:00,6720,236,203,469,38050303,12693343,467222,,12226121,7694874
757,2023-01-27T00:00:00,6900,241,197,491,38057203,12693341,467265,,12226076,7695157
758,2023-01-28T00:00:00,9334,312,337,693,38066537,12693426,467236,,12226190,7695651
759,2023-01-29T00:00:00,5960,235,341,689,38072497,12693434,467125,,12226309,7696136
760,2023-01-30T00:00:00,1899,88,79,216,38074396,12693305,467132,,12226173,7696157
761,2023-01-31T00:00:00,5875,156,150,413,38080271,12693210,467136,,12226074,7696344
762,2023-02-01T00:00:00,7291,249,249,488,38087562,12693257,467136,,12226121,7696655
763,2023-02-02T00:00:00,6462,295,239,499,38094024,12693358,467190,,12226168,7696992
764,2023-02-03T00:00:00,6539,197,191,462,38100563,12693351,467195,,12226156,7697272
765,2023-02-04T00:00:00,6717,231,305,541,38107280,12693392,467116,,12226276,7697652
766,2023-02-05T00:00:00,4175,198,291,484,38111455,12693372,467022,,12226350,7697953
767,2023-02-06T00:00:00,1834,91,98,211,38113289,12693246,467013,,12226233,7697965
768,2023-02-07T00:00:00,4960,162,181,383,38118249,12693171,466992,,12226179,7698145
769,2023-02-08T00:00:00,5766,213,206,429,38124015,12693180,466998,,12226182,7698391
770,2023-02-09T00:00:00,6115,214,243,438,38130130,12693191,466969,,12226222,7698655
771,2023-02-10T00:00:00,5078,158,207,369,38135208,12693195,466918,,12226277,7698888
772,2023-02-11T00:00:00,6049,185,258,458,38141257,12693172,466841,,12226331,7699157
773,2023-02-12T00:00:00,4077,217,343,408,38145334,12693189,466712,,12226477,7699383
774,2023-02-13T00:00:00,1480,56,87,146,38146814,12693063,466680,,12226383,7699378
775,2023-02-14T00:00:00,3936,132,179,308,38150750,12692975,466632,,12226343,7699489
776,2023-02-15T00:00:00,4537,119,191,285,38155287,12692900,466560,,12226340,7699603
777,2023-02-16T00:00:00,4912,174,285,400,38160199,12692867,466447,,12226420,7699817
778,2023-02-17T00:00:00,4981,180,210,342,38165180,12692860,466416,,12226444,7699996
779,2023-02-18T00:00:00,5111,230,295,487,38170291,12692894,466349,,12226545,7700311
780,2023-02-19T00:00:00,3349,133,243,373,38173640,12692842,466238,,12226604,7700528
781,2023-02-20T00:00:00,1419,64,54,157,38175059,12692729,466246,,12226483,7700533
782,2023-02-21T00:00:00,912,25,14,107,38175971,12692592,466255,,12226337,7700492
783,2023-02-22T00:00:00,4133,130,213,370,38180104,12692552,466167,,12226385,7700721
784,2023-02-23T00:00:00,4261,163,231,389,38184365,12692502,466092,,12226410,7700921
785,2023-02-24T00:00:00,3026,138,229,273,38187391,12692469,465999,,12226470,7701037
786,2023-02-25T00:00:00,5011,214,539,384,38192402,12692497,465673,,12226824,7701267
787,2023-02-26T00:00:00,3472,146,681,384,38195874,12692460,465137,,12227323,7701490
788,2023-02-27T00:00:00,1070,37,57,97,38196944,12692334,465114,,12227220,7701451
789,2023-02-28T00:00:00,2721,97,163,232,38199665,12692222,465046,,12227176,7701493
790,2023-03-01T00:00:00,3845,138,428,333,38203510,12692155,464755,,12227400,7701636
791,2023-03-02T00:00:00,4586,159,496,327,38208096,12692116,464415,,12227701,7701798
792,2023-03-03T00:00:00,4363,160,357,333,38212459,12692096,464216,,12227880,7701967
793,2023-03-04T00:00:00,4962,207,623,349,38217421,12692134,463798,,12228336,7702168
794,2023-03-05T00:00:00,2532,110,449,251,38219953,12692079,463458,,12228621,7702271
795,2023-03-06T00:00:00,1156,48,37,114,38221109,12691967,463467,,12228500,7702243
796,2023-03-07T00:00:00,3211,90,171,221,38224320,12691863,463384,,12228479,7702297
797,2023-03-08T00:00:00,4311,133,412,283,38228631,12691835,463104,,12228731,7702435
798,2023-03-09T00:00:00,4607,170,451,312,38233238,12691841,462819,,12229022,7702607
799,2023-03-10T00:00:00,3932,101,136,255,38237170,12691794,462782,,12229012,7702733
800,2023-03-11T00:00:00,4046,141,169,284,38241216,12691797,462753,,12229044,7702891
801,2023-03-12T00:00:00,2882,109,234,301,38244098,12691746,462624,,12229122,7703049
802,2023-03-13T00:00:00,857,32,32,103,38244955,12691651,462622,,12229029,7703040
803,2023-03-14T00:00:00,3054,100,109,256,38248009,12691598,462613,,12228985,7703162
804,2023-03-15T00:00:00,4094,141,163,309,38252103,12691615,462591,,12229024,7703357
805,2023-03-16T00:00:00,4000,173,234,276,38256103,12691617,462528,,12229089,7703493
806,2023-03-17T00:00:00,4273,171,202,306,38260376,12691638,462494,,12229144,7703668
807,2023-03-18T00:00:00,4349,144,194,295,38264725,12691645,462444,,12229201,7703839
808,2023-03-19T00:00:00,2717,129,233,255,38267442,12691675,462340,,12229335,7704004
809,2023-03-20T00:00:00,773,31,19,73,38268215,12691584,462352,,12229232,7703965
810,2023-03-21T00:00:00,2884,70,84,199,38271099,12691529,462334,,12229195,7704056
811,2023-03-22T00:00:00,3876,131,132,246,38274975,12691546,462333,,12229213,7704199
812,2023-03-23T00:00:00,3796,118,171,224,38278771,12691561,462277,,12229284,7704334
813,2023-03-24T00:00:00,3669,102,115,235,38282440,12691560,462264,,12229296,7704475
814,2023-03-25T00:00:00,4249,107,172,246,38286689,12691572,462197,,12229375,7704639
815,2023-03-26T00:00:00,2466,115,211,199,38289155,12691596,462099,,12229497,7704758
816,2023-03-27T00:00:00,910,48,32,67,38290065,12691572,462115,,12229457,7704761
817,2023-03-28T00:00:00,3062,88,77,199,38293127,12691574,462124,,12229450,7704884
818,2023-03-29T00:00:00,4122,126,136,220,38297249,12691630,462112,,12229518,7705041
819,2023-03-30T00:00:00,3797,112,165,210,38301046,12691693,462059,,12229634,7705208
820,2023-03-31T00:00:00,3921,143,109,212,38304967,12691788,462093,,12229695,7705374
821,2023-04-01T00:00:00,4153,140,146,223,38309120,12691917,462087,,12229830,7705586
822,2023-04-02T00:00:00,2167,64,120,169,38311287,12691976,462031,,12229945,7705750
823,2023-04-03T00:00:00,766,25,12,52,38312053,12692001,462044,,12229957,7705802
824,2023-04-04T00:00:00,3362,78,71,164,38315415,12692069,462051,,12230018,7705956
825,2023-04-05T00:00:00,4254,112,102,233,38319669,12692181,462061,,12230120,7706189
826,2023-04-06T00:00:00,3539,111,105,171,38323208,12692292,462067,,12230225,7706360
